"","vegetation.type","myrtaceae","fabaceae","rubiaceae"
"227","Rocky",30,6,43
"228","Rocky",38,21,10
"229","Rocky",20,70,42
"230","Rocky",17,3,44
"231","Rainforest",22,60,40
"232","Rainforest",31,6,42
"233","Rainforest",43,9,43
"234","Rainforest",49,9,4
"235","Rainforest",60,15,3
"236","Rainforest",36,49,42
"237","Rainforest",31,87,7
"238","Rainforest",49,10,42
"239","Rainforest",36,19,7
"240","Rainforest",38,9,7
"241","Rainforest",35,10,41
"242","Rainforest",32,6,44
"243","Rainforest",48,21,8
"244","Rainforest",22,13,5
"245","Rainforest",47,12,7
"246","Rainforest",35,25,9
"247","Rainforest",58,30,11
"248","Rainforest",17,8,12
"249","Rainforest",20,3,42
"250","Rainforest",49,15,12
"251","Rainforest",22,20,4
"252","Rainforest",57,19,18
"253","Rainforest",48,22,20
"254","Rainforest",27,60,40
"255","Rainforest",27,18,6
"256","Rainforest",21,87,42
"257","Rainforest",51,18,12
"258","Rainforest",20,8,41
"259","Rainforest",25,60,44
"260","Rainforest",26,60,42
"261","Rainforest",31,33,17
"262","Rainforest",25,70,44
"263","Rainforest",50,22,43
"264","Rainforest",47,43,23
"265","Rainforest",55,42,23
"266","Rainforest",63,50,23
"267","Rainforest",58,36,27
"268","Rainforest",20,38,24
"269","Rainforest",51,25,15
"270","Rainforest",30,11,41
"271","Rainforest",38,19,44
"272","Rainforest",14,12,12
"273","Rainforest",44,8,3
"274","Rainforest",29,21,3
"275","Rainforest",24,12,42
"276","Rainforest",38,70,7
"277","Rainforest",29,35,18
"278","Rainforest",43,21,8
"279","Rainforest",40,11,9
"280","Rainforest",27,78,42
"281","Rainforest",41,14,5
"282","Rainforest",32,12,3
"283","Rainforest",37,9,7
"284","Rainforest",17,13,6
"285","Rainforest",47,29,7
"286","Rainforest",38,24,8
"287","Rainforest",48,17,6
"288","Rainforest",38,6,7
"289","Rainforest",11,78,4
"290","Rainforest",44,21,6
"291","Rainforest",42,70,5
"292","Rainforest",20,6,44
"293","Rainforest",31,87,43
"294","Rainforest",27,78,4
"295","Rainforest",24,8,3
"296","Rainforest",49,3,6
"297","Rainforest",39,3,44
"298","Rainforest",18,70,13
"299","Rainforest",32,10,43
"300","Rainforest",29,9,44
"301","Rainforest",30,14,41
"302","Rainforest",22,10,42
"303","Rainforest",15,9,43
"304","Rainforest",27,8,3
"305","Rainforest",30,10,42
"306","Rainforest",16,10,42
"307","Rainforest",37,8,43
"308","Rainforest",24,15,41
"309","Rainforest",25,13,4
"310","Rainforest",19,10,3
"311","Rainforest",7,8,43
"312","Rainforest",13,10,3
"313","Rainforest",15,11,43
"314","Rainforest",9,78,40
"315","Rainforest",47,18,6
"316","Rainforest",31,13,3
"317","Rainforest",25,14,6
"318","Rainforest",15,87,40
"319","Rainforest",18,87,44
"320","Rainforest",33,78,4
"321","Rainforest",36,14,4
"322","Rainforest",17,3,3
"323","Rainforest",35,13,4
"324","Rainforest",58,20,10
"325","Rainforest",37,10,44
"326","Rainforest",36,10,7
"327","Rainforest",43,23,10
"328","Rainforest",21,17,3
"329","Rainforest",42,9,8
"330","Rainforest",36,14,9
"331","Rainforest",35,17,9
"332","Rainforest",41,19,6
"333","Rainforest",38,13,43
"334","Rainforest",38,17,11
"335","Rainforest",44,22,9
"336","Rainforest",25,3,43
"337","Rainforest",38,13,44
"338","Rainforest",47,26,9
"339","Rainforest",53,13,44
"340","Rainforest",30,18,9
"341","Rainforest",28,3,43
"342","Rainforest",40,10,42
"343","Rainforest",43,18,7
"344","Rainforest",48,18,12
"345","Rainforest",32,11,4
"346","Rainforest",43,20,9
"347","Rainforest",37,6,5
"348","Rainforest",38,70,3
"349","Rainforest",26,20,6
"350","Rainforest",38,12,4
"351","Rainforest",32,20,8
"352","Rainforest",36,70,41
"353","Rainforest",51,14,3
"354","Rainforest",36,22,4
"355","Rainforest",30,21,4
"356","Rainforest",44,20,4
"357","Rainforest",51,22,9
"358","Rainforest",58,12,4
"359","Rainforest",39,18,10
"360","Rainforest",47,14,8
"361","Rainforest",39,23,8
"362","Rainforest",40,29,11
"363","Rainforest",44,14,41
"364","Rainforest",37,21,11
"365","Rainforest",44,28,8
"366","Rainforest",38,12,8
"367","Rainforest",31,15,43
"368","Rainforest",43,22,10
"369","Rainforest",32,11,43
"370","Rainforest",35,10,40
"371","Rainforest",28,23,6
"372","Rainforest",33,18,8
"373","Rainforest",41,14,44
"374","Rainforest",24,28,6
"375","Rainforest",31,19,8
"376","Rainforest",38,28,8
"377","Rainforest",53,15,4
"378","Rainforest",57,24,15
"379","Rainforest",31,25,9
"380","Rainforest",43,26,10
"381","Rainforest",59,30,15
"382","Rainforest",49,12,6
"383","Rainforest",55,25,12
"384","Rainforest",70,29,14
"385","Rainforest",38,21,5
"386","Rainforest",36,49,44
"387","Rainforest",60,31,14
"388","Rainforest",68,39,19
"389","Rainforest",64,39,19
"390","Rainforest",24,17,5
"391","Rainforest",48,24,9
"392","Rainforest",30,17,9
"393","Rainforest",68,40,20
"394","Rainforest",52,26,21
"395","Rainforest",40,20,4
"396","Rainforest",18,87,43
"397","Rainforest",39,19,5
"398","Rainforest",51,29,17
"399","Rainforest",40,30,6
"400","Rainforest",53,22,12
"401","Rainforest",17,19,34
"402","Rainforest",29,19,4
"403","Rainforest",57,28,10
"404","Rainforest",47,30,16
"405","Rainforest",69,35,26
"406","Rainforest",51,25,16
"407","Rainforest",40,22,18
"408","Rainforest",46,19,8
"409","Rainforest",43,22,16
"410","Rainforest",64,28,20
"411","Rainforest",66,34,17
"412","Rainforest",75,25,16
"413","Rainforest",33,14,44
"414","Rainforest",50,24,25
"415","Rainforest",26,13,5
"416","Rainforest",30,33,18
"417","Rainforest",52,11,18
"418","Rainforest",31,11,3
"419","Rainforest",32,21,6
"420","Rainforest",44,8,11
"421","Rainforest",36,28,19
"422","Rainforest",31,24,17
"423","Rainforest",47,24,20
"424","Rainforest",18,24,6
"425","Rainforest",54,25,10
"426","Rainforest",78,17,18
"427","Rainforest",47,25,11
"428","Rainforest",46,29,28
"429","Rainforest",44,20,14
"430","Rainforest",65,52,22
"431","Rainforest",59,23,14
"432","Rainforest",41,24,8
"433","Rainforest",32,23,6
"434","Rainforest",55,29,25
"435","Rainforest",39,22,17
"436","Rainforest",70,59,20
"437","Rainforest",28,29,6
"438","Rainforest",22,18,8
"439","Rainforest",22,26,5
"440","Rainforest",46,44,9
"441","Rainforest",50,29,32
"442","Rainforest",38,37,14
"443","Rainforest",7,11,7
"444","Rainforest",33,87,7
"445","Rainforest",63,37,35
"446","Rainforest",61,36,29
"447","Rainforest",54,42,23
"448","Rainforest",58,14,23
"449","Rainforest",50,13,18
"450","Rainforest",26,39,12
"451","Rainforest",61,29,30
"452","Rainforest",26,22,14
"453","Rainforest",10,3,4
"454","Rainforest",24,25,10
"455","Rainforest",16,15,44
"456","Rainforest",26,19,4
"457","Rainforest",25,19,8
"458","Rainforest",13,17,42
"459","Rainforest",49,61,21
"460","Rainforest",37,45,17
"461","Rainforest",31,32,18
"462","Rainforest",65,69,35
"463","Rainforest",78,7,36
"464","Rainforest",27,29,10
"465","Rainforest",28,33,22
"466","Rainforest",33,54,11
"467","Rainforest",42,58,27
"468","Rainforest",42,46,23
"469","Rainforest",21,39,10
"470","Rainforest",29,39,9
"471","Rainforest",22,33,16
"472","Rainforest",26,21,8
"473","Rainforest",19,48,11
"474","Rainforest",26,30,6
"475","Rainforest",13,32,14
"476","Rainforest",33,45,15
"477","Rainforest",25,53,12
"478","Rainforest",13,26,5
"479","Rainforest",6,30,6
"480","Rainforest",11,35,10
"481","Rainforest",57,45,35
"482","Rainforest",55,81,31
"483","Rainforest",62,75,27
"484","Rainforest",19,32,43
"485","Rainforest",16,40,16
"486","Rainforest",58,77,39
